Class,Subject Area,Topics,Sub-Topics
JSS 1-3,Mathematics,"Numbers, fractions, decimals, percentages","Numbers, Fractions, Decimals, Percentages"
JSS 1-3,Mathematics,"Ratios, proportions, rates","Ratios, Proportions, Rates"
JSS 1-3,Mathematics,Geometry," Angles, Area, Volume"
JSS 1-3,Mathematics,Algebra," Expressions, Equations"
JSS 1-3,Mathematics,Statistics," Mean, Median, Mode"
JSS 1-3,Mathematics,Graphs," Line, Bar, Pie"
JSS 1-3,Mathematics,Measurement," Km, M, Cm, G, Kg, Ml, L, °C, Time Zones"
JSS 1-3,English,Essay writing," Narrative, Descriptive"
JSS 1-3,English,"Advanced grammar, clauses, idioms","Advanced Grammar, Clauses, Idioms"
JSS 1-3,English,"Comprehension of articles, literature","Comprehension Of Articles, Literature"
JSS 1-3,English,"Vocabulary, academic & global terms","Vocabulary, Academic & Global Terms"
JSS 1-3,English,Oral," Debates, Speeches, Drama"
JSS 1-3,Integrated Science,Physics," Motion, Forces, Energy"
JSS 1-3,Integrated Science,Chemistry," Matter, Mixtures, Reactions"
JSS 1-3,Integrated Science,Biology," Cells, Reproduction, Ecology"
JSS 1-3,Integrated Science,Earth Science," Climate, Natural Resources"
JSS 1-3,Integrated Science,Technology," Electricity, Mechanics"
JSS 1-3,Integrated Science,Experiments & lab safety,Experiments & Lab Safety
JSS 1-3,Digital Literacy,"Word, Excel, PowerPoint","Word, Excel, Powerpoint"
JSS 1-3,Digital Literacy,Internet research & safety,Internet Research & Safety
JSS 1-3,Digital Literacy,"Coding (Python basics), Scratch advanced","Coding (Python Basics), Scratch Advanced"
JSS 1-3,Social Studies,"History of Nigeria, Africa","History Of Nigeria, Africa"
JSS 1-3,Social Studies,Geography," Maps, Lat/Long, Climate"
JSS 1-3,Social Studies,Civics," Rights, Duties, Democracy"
JSS 1-3,Social Studies,Economics," Trade, Money, Entrepreneurship Basics"
JSS 1-3,Social Studies,Global issues," Climate Change, Migration"
JSS 1-3,Languages,Advanced mother tongue,Advanced Mother Tongue
JSS 1-3,Languages,Conversational fluency in foreign language (French/Arabic),Conversational Fluency In Foreign Language (French/Arabic)
JSS 1-3,Creative Arts,"Drawing, painting, crafts","Drawing, Painting, Crafts"
JSS 1-3,Creative Arts,"Drama, theatre, film basics","Drama, Theatre, Film Basics"
JSS 1-3,Creative Arts,Music," Reading Notes, Instruments"
JSS 1-3,Physical & Health Education,"Advanced sports, fitness training","Advanced Sports, Fitness Training"
JSS 1-3,Physical & Health Education,"Nutrition, reproductive health","Nutrition, Reproductive Health"
JSS 1-3,Physical & Health Education,First aid basics,First Aid Basics
JSS 1-3,Physical & Health Education,Drug abuse awareness,Drug Abuse Awareness
SS 1-3,Mathematics,"Algebra, functions, trigonometry","Algebra, Functions, Trigonometry"
SS 1-3,Mathematics,"Geometry, vectors, bearings","Geometry, Vectors, Bearings"
SS 1-3,Mathematics,"Calculus, differentiation, integration basics","Calculus, Differentiation, Integration Basics"
SS 1-3,Mathematics,"Probability, statistics","Probability, Statistics"
SS 1-3,Mathematics,Financial mathematics,Financial Mathematics
SS 1-3,Mathematics,"Applied mathematics in economics, engineering","Applied Mathematics In Economics, Engineering"
SS 1-3,English,"Advanced essays, academic writing","Advanced Essays, Academic Writing"
SS 1-3,English,"Literary analysis, world literature","Literary Analysis, World Literature"
SS 1-3,English,"Critical reading, research skills","Critical Reading, Research Skills"
SS 1-3,English,"Public speaking, presentations","Public Speaking, Presentations"
SS 1-3,English,"Media, journalism, fact-checking","Media, Journalism, Fact-Checking"
SS 1-3,Sciences,"Mechanics, waves, electricity, nuclear physics","Mechanics, Waves, Electricity, Nuclear Physics"
SS 1-3,Sciences,Chemistry," Organic, Inorganic, Industrial, Analytical"
SS 1-3,Sciences,Biology," Genetics, Ecology, Biotechnology"
SS 1-3,Sciences,Earth & Environmental Science," Sustainability, Climate Change"
SS 1-3,Technology & Innovation,Data science," Python, Javascript, Html/Css"
SS 1-3,Technology & Innovation,"AI & robotics intro, databases","Ai & Robotics Intro, Databases"
SS 1-3,Technology & Innovation,"Digital entrepreneurship, freelancing","Digital Entrepreneurship, Freelancing"
SS 1-3,Technology & Innovation,Cybersecurity basics,Cybersecurity Basics
SS 1-3,Social Sciences,"Government & law, constitutions, human rights","Government & Law, Constitutions, Human Rights"
SS 1-3,Social Sciences,Economics," Micro, Macro, Trade, Globalization"
SS 1-3,Social Sciences,History," Africa, World Revolutions, Conflicts"
SS 1-3,Social Sciences,Philosophy & ethics,Philosophy & Ethics
SS 1-3,Social Sciences,Entrepreneurship," Business Plans, Startups"
SS 1-3,Languages,Advanced mother tongue literature,Advanced Mother Tongue Literature
SS 1-3,Languages,Fluency in international language (French/Arabic/Chinese optional),Fluency In International Language (French/Arabic/Chinese Optional)
SS 1-3,Creative Arts,"Fine arts, design","Fine Arts, Design"
SS 1-3,Creative Arts,"Music composition, instruments","Music Composition, Instruments"
SS 1-3,Creative Arts,Drama & theatre,Drama & Theatre
SS 1-3,Creative Arts,Film/media production,Film/Media Production
SS 1-3,Physical & Health Education,Professional-level sports training,Professional-Level Sports Training
SS 1-3,Physical & Health Education,"Health science, mental health","Health Science, Mental Health"
SS 1-3,Physical & Health Education,Advanced first aid & CPR,Advanced First Aid & Cpr
SS 1-3,Physical & Health Education,"Personal development, leadership","Personal Development, Leadership"
SS 1-3,Research & Project,Final-year project work,Final-Year Project Work
SS 1-3,Research & Project,"Hypothesis, data collection, analysis","Hypothesis, Data Collection, Analysis"
SS 1-3,Research & Project,Project presentation & defense,Project Presentation & Defense
